Timestamp,DOI,Location Detail,Country,Study Object,Land-use context,Modified condition of the population by human intervention prior to the study,Intervention in the study (has to be an activity that modifies the population study for the sake of the study),"NCS Category (Griscom, 2020)",Study design,Comparator,Statistical analysis,Data collection methodology - Material,Data collection methodology - Method,Outcome,Outcome in details,Intermediate outcome/explanatory variable?,How did the study quantify the uncertainty?,Does the output use remote sensing technology?,Data collection methodology: primary field sampling?,Source of uncertainty in the measurement,Column 19
5/16/2025 6:32:57,10.1046/j.1365-2699.2000.00198.x,"Amazon Basin, defined here as the combined area of the Amazon and Tocantins river Basins",multiple countries,amazon basin carbon storage,forest,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,modeling study,"three other types of carbon storage estimates: inventory, eddy covariance, inverse modelling",standard significance statistical analysis,"climate data, vegetation measurements, and soil organic carbon pools",Terrestrial Ecosystem Model (TEM),net ecosystem productivity,net ecosystem productivity variations under different bioclimatic and seasonal condition,No,not reported,No,no,uncertainties associated with estimates of key model parameters as well as incomplete understanding of ecosystem processes,
5/16/2025 6:42:43,10.1016/j.jclepro.2023.138586,"pasture areas inside the Sugarcane Agroecological Zoning (SAEZ) are considered for BLI expansion in Brazil and six Brazilian states are identified as potential locations: São Paulo, Mato Grosso, Mato Grosso do Sul, Paraná, Minas Gerais and Goiás",Brazil,bioenergy-livestock integration within pastureland designated in the Sugarcane Agroecological Zoning,agriculture,business as usual operation of human's activity,no modification was done in the study,manage: trees in agricultural lands,"combining life cycle assessment and techno-economic assessment methodology, geographic information system tools, and agrometeorological crop modeling to estimate how much bioenergy produced within BLI systems can contribute to future ethanol demands and climate mitigation targets",other samples in the study's design,not reported,"sugarcane, corn, soybean, livestock, biofuel by-products, climate data, economic models, and land-use restrictions","bottom-up sustainability assessment combined life cycle analysis, techno-economic evaluations, geographic information system tools, and agrometeorological crop modeling",bioenergy-livestock integration system trade-offs and scenarios,"Three multi-product BLI system options (Sug_feed, Corn_feed, and feed) and their conventional counterparts (Sug_past, Corn_past, Soy_past) were modeled, with carbon intensities calculated through process subdivision by crop and meat production to avoid allocation, and when necessary, emissions were allocated based on the energy content of co-products such as ethanol, electricity, feed, oil, and biodiesel.",No,Sensitivity analyses accounted for variations in scenarios,Only used for data analysis,no,not reported,
5/16/2025 7:16:41,10.5751/ES-00657-090207,"southern Sumatra, Indonesia",Indonesia,impact of different cropping methods,agriculture,business as usual operation of human's activity,no modification was done in the study,manage: trees in agricultural lands,"24 (40 x 5 m) plots to record site physical data, including soil nutrients and soil texture together with vegetation structure, all vascular plant species, and plant functional types",control variable/business as usual,"multivariate exploratory data analysis package (PATN©, Belbin 1992) to all plant-based data using a Gower similarity measure (Gower 1967) with an unweighted pair-group averaging fusion strategy to produce classifications and multi-dimensional scaling (MDS) ordinations","standard field measurement equipment, identification resource and specialist","field transects, plant species identification, soil sampling, and analyzed through multivariate statistical methods to evaluate relationships between land use and ecological complexity",vegetation biodiversity and structural complexity,"plant biodiversity—particularly plant functional type (PFT) richness and diversity—and its relationship to land-use type, vegetation structure, and soil properties across a gradient of coffee-farming systems and forest plots.",No,using multi-dimensional scaling (MDS) method,No,yes,"high biophysical complexity inherent in the plot samples, together with difficulties in locating adequate plot replicates, prohibited standard sampling and statistical treatments as a means of detecting meaningful pattern between biodiversity and cropping methods",
5/16/2025 7:26:02,10.1016/j.jclepro.2016.03.132,nation-wide brazil,Brazil,different pasture management systems,pasture,business as usual operation of human's activity,no modification was done in the study,manage: optimal grazing intensity,"comparative field-based evaluation using a longitudinal, scenario-based approach",control variable/business as usual,not reported,secondary data,"scenario-based comparative modeling analysis, using the IPCC (2006) methodology combined with Brazil-specific pasture management data to estimate GHG emissions, carbon sinks, and the carbon footprint of beef cattle production over a 10-year period. It evaluates three land-use scenarios—Degraded Pasture (DP), Managed Pasture (MP), and Crop-Livestock-Forest Integrated System (CLFIS)",GHG balance per hectare,"CO2equivalent emissions per kilogram of live weight (LW) beef produced, considering only the fattening phase of cattle production.",No,not reported,No,no,not reported,
5/16/2025 7:45:42,10.1590/0102-33062020abb0205,"A humid portion of the Chaco is in Porto Murtinho in the state of Mato Grosso do Sul, Brazil",Brazil,two Chaco phytophysiognomies—Chaco woodland and Chaco forest,forest,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,50 randomly located plots across both sites,other samples in the study's design,"multivariate analysis of variance (PERMANOVA) based on Bray-Curtis distance, Principal Component Analysis (PCA), Student’s t-test, and Wilcoxon rank-sum tests to analyze species composition, soil variables, and functional diversity differences between Chaco woodland and forest.",standard field measurement equipment,standard field measurement,"species composition, species richness and diversity, soil nutrient levels, and functional diversity indices (functional richness and functional dispersion) of woody plant communities","assessing how environmental gradients influence species assembly, diversity, and functional trait distribution in Chaco ecosystems, supporting hypotheses about stronger environmental filtering in woodlands and more intense competition in forests",No,"standardized effect sizes (SES) for functional richness (SESFRic) and functional dispersion (SESFDis), which control for random variation in species richness and abundance",No,yes,study's design natural statistical uncertainty,
5/17/2025 1:54:12,10.1590/1807-1929/agriambi.v25n4p250-255,"Pontes e Lacerda, state of Mato Grosso, Brazil",Brazil,intensive agriculture,agriculture,business as usual operation of human's activity,no-tillage,manage: trees in agricultural lands,"evaluated soil organic carbon (SOC), fertility, and texture in Oxisols and Plinthic subgroups under native vegetation and no-tillage (NT) systems implemented 3, 8, 10, and 12 years ago, using a factorial design with soil type, land-use history, and depth (up to 2.0 m for Oxisols and 1.0 m for Plinthic soils), with three 1 ha plots per treatment and composite sampling at multiple depths",native forest vegetation,standard significance statistical analysis,standard field and laboratory equipment for soil sampling and analysis,"Three 1-hectare plots were established for each treatment. Soil samples were collected at multiple depths (up to 2.0 m in Oxisols and 1.0 m in Plinthic soils) to evaluate soil organic carbon (SOC) concentrations, while bulk density (BD) was measured using Kopecky rings at 0–0.20 m and 0.20–0.40 m depths. SOC was determined using an elemental carbon analyzer, and carbon stock (CS) was calculated following EMBRAPA (2016) methodology based on equivalent soil mass. Granulometric analysis was performed using the pipette method, and chemical fertility was assessed according to EMBRAPA (2017). The rate of change in carbon stock (CSr) was calculated by comparing NT areas with NV",soil organic carbon,soil organic carbon under different management,No,standard deviation,No,yes,not reported,
5/17/2025 2:07:51,10.1038/s41586-024-08106-4,pantropical natural forest,multiple countries,potential for natural regeneration across tropical forested countries and biomes,forest,ecosystem's natural condition,no modification was done in the study,restore: reforestation,"machine learning methods to distinguish areas in which natural regeneration did or did not occur across the global tropics as a function of a suite of geospatial, biophysical and socioeconomic variables",no comparator,model accuracy assessment,secondary data of predictor variables spanning local (site) and landscape scales (from 30 m to country level) that are known to influence the potential for tropical forest regrowth,"used an ensemble of Random Forest models trained on a balanced subset of six million records, with iterative variable selection and spatially aware validation",a model of the potential for natural regeneration,generate 30-m resolution predictions of natural regeneration potential for 2030 based on updated biophysical covariates,No,classification accuracy metrics,Only used for data analysis,no,lowest accuracies occurring in portions of Southeast Asia,
5/17/2025 2:34:59,10.1023/A:1010756018265,"Thiruvazhamkunnu, Palakkad district, Kerala, India",India,nteraction between fast-growing multipurpose tree species (MPTs) and forage grasses in an alley cropping system,agriculture,business as usual operation of human's activity,"planting four different multipurpose tree species with varying canopy traits in spaced plots, intercropped with four forage grass species of differing shade tolerance, combined with annual pruning and fertilization",manage: trees in agricultural lands,"randomized plot design with four multipurpose tree species planted in 6 m × 6 m plots arranged in rows, intercropped with four forage grass species of varying shade tolerance, managed through annual pruning and fertilization to evaluate tree-grass interactions over time.",control variable/business as usual,standard significance statistical analysis,standard field sampling and basic laboratory equipment to get dry weight of sample,dry matter percentage and fresh weight were used to scale fodder yield to per hectare basis,fodder yield,fodder yield under different experiment design,No,standard deviation,No,yes,not reported,
5/17/2025 2:40:16,10.1023/A:1010756018265,,,,,,,,,,,tree-felling equipment,destructive sampling by felling trees,tree biomass,"measure total height, crown diameter, girth at breast height (GBH), fresh and dry biomass yield were recorded, representative leaf samples were collected and leaf area measured with a leaf area meter, and total leaf area was calculated by scaling sample leaf area per gram to the tree’s total fresh foliage weight",No,standard deviation,No,yes,not reported,
5/17/2025 2:43:25,10.1023/A:1010756018265,,,,,,,,,,,soil samples and standard laboratory equipment for soil chemical analysis,"Soil samples collected from three random points per plot at 0–15 cm depth after removing litter, in February 1993, May 1995, and August 1995 (before sowing and after teosinte harvest). Samples air-dried and sieved (2 mm)",soil chemical properties,"pH (soil:water ratio 1:2), Organic carbon (Walkley-Black method), total nitrogen (micro-Kjeldahl method), available phosphorus (chloromolybdic acid blue method), available potassium (flame photometry with ammonium acetate extractant)",No,standard deviation,No,yes,not reported,
5/17/2025 3:03:50,10.1016/j.landusepol.2024.107118,"aggregated Brazil's 27 states into 14 regions, accordingly to its importance for livestock production",Brazil,degraded pastures recovery,agriculture,business as usual operation of human's activity,no modification was done in the study,restore: reforestation,"study uses the dynamic, computable general equilibrium model TERM-BR15, calibrated with detailed regional, sectoral, and household data from Brazil, to simulate economic trajectories and policy impacts across 14 aggregated regions and multiple product and labor categories from 2015 to 2035",control variable/business as usual,scenario-based quantitative projections through economic modeling and simulation,secondary data to put into model,"TERM-BR15 model: Calculate emissions from production (cattle herd size, fuels, fertilizers) and land-use change (LULUCF) using transition matrices, Convert emissions of various gases to CO2 equivalent, Apply region- and biome-specific emission coefficients and land-use change probabilities",greenhouse gas emission,"Total GHG emissions by region and sector over time, under two accounting methods (with and without Soil Organic Carbon fixation)",Yes,strategy aimed to mitigate this uncertainty by aggregating municipal-specific data for productivity enhancement and spatial-specific data for SOC fixation.,Only used for data analysis,no,"degraded pasture recovery operate at a more granular level, potentially presenting heterogeneity within farm-level analyses due to diverse socioeconomic, edaphoclimatic, soil, and other local conditions",
5/17/2025 3:08:06,10.1016/j.landusepol.2024.107118,,,,,,,,,,,"TERM-BR15 CGE model with calibrated economic, demographic, and regional data",Run dynamic CGE simulations incorporating DPR shocks to productivity and investments,socioeconomic indicators,"Percent changes in GDP and consumption relative to baseline, monetary estimate of social return on investment in recovering degraded pasture",No,"exclusively utilized macroeconomic, demographic, and land use variables. This modeling choice aims to create a forecast for the Brazilian economy based solely on available data, primarily derived from the economy's structure in the base year",Only used for data analysis,no,"confounding effects from other sectorial programs, public policies, environmental impacts",
5/17/2025 10:21:27,10.1016/j.scitotenv.2023.164175,"Piracicaba and Ribeirão Preto mesoregions, São Paulo state, in the Atlantic Forest Biome in southeastern Brazil",Brazil,soil health recovery,agriculture,business as usual operation of human's activity,active ecological restoration,restore: reforestation,"a chronosequence approach to assess soil multifunctionality recovery by comparing physical, chemical, and biological soil indicators across sugarcane fields, actively restored riparian forests (6, 15, and 30 years), and a primary forest reference, using standardized soil sampling and a weighted soil health index framework",degraded sugarcane field and primary forest,standard significance statistical analysis,field soil sampling standard equipment and laboratory analysis for soil analysis,field soil sampling and soil laboratory analysis,"composite Soil Health Index (SHI) derived from physical, chemical, and biological soil indicators","The Soil Health Index (SHI) in this study integrates physical, chemical, and biological indicators to assess soil multifunctionality across land uses. The physical indicators include bulk density (Bd), macroporosity (MaP), and microporosity (MiP), reflecting soil structure and water-air dynamics. The chemical indicators—pH, total nitrogen (N), phosphorus (P), potassium (K), and cation exchange capacity (CEC)—capture nutrient availability, storage, and acidity regulation. The biological indicators consist of total carbon (C), bacterial 16S rRNA gene copies (bact-16S), and fungal ITS gene copies (fung-ITS), representing microbial activity and habitat quality. Each indicator was standardized (0–1 scale) and combined using a weighted additive model to produce a composite SHI score",No,not reported,No,yes,not reported,
5/17/2025 10:49:50,10.1016/j.ejsobi.2016.04.011,Riau in PT-Smart company (Golden Agri-Resources),Indonesia,soil in palm oil plantation,agriculture,business as usual operation of human's activity,recycling organic residues by distributing empty fruit bunches (EFBs),manage: trees in agricultural lands,"application of empty fruit bunches in five distinct zones, which were defined around the base of each palm tree. These zones were established to account for spatial heterogeneity caused by plant cover and the application of different types of fertilizers (organic and inorganic)",conventional fertilizer application,standard significance statistical analysis,"conventional mineral fertilization applied to control plots, and Empty Fruit Bunches (EFBs), standard soil field measurements",standard soil sampling procedure and laboratory analysis,soil quality,"soil physical quality, chemical (mineral contents such as available P, K, and Mg, as well as pH. Other chemical properties measured were base saturation, total and available K, total and Bray P, Ca, Mg, Cation Exchange Capacity (CEC), Soil Organic Carbon (SOC), and Al content) and biological (macrofauna and nematofauna communities)",No,integrate the data from these spatially distinct zones to provide an assessment at the overall plot scale by calculating weighted means to produce a single representative value for the plot,No,yes,spatial variability of the study design,
5/18/2025 3:59:15,10.1016/j.catena.2024.107985,"Wonopringgo Village, Pekalongan",Indonesia,suitability of barren land for agricultural purpose,agriculture,barren land,no modification was done in the study,ecosystem monitoring study,"descriptive method with purposive data collection at three barren lands by assessing soil and water quality parameters and performing SQI, WQI, and correlation analyses",no comparator,standard significance statistical analysis,standard soil and water sampling equipment,standard soil and water sampling method,feasibility status of barren agricultural lands for cultivation,"feasibility based on soil quality parameters which includes physical (type, texture) and chemical properties (pH, redox potential, organic carbon, organic matter, cation exchange capacity, total nitrogen, C/N ratio, nitrate), and water quality parameters measured included physical (temperature, salinity, dissolved oxygen) and chemical properties (pH, nitrite, carbon dioxide, nitrate, orthophosphate, ammonia, Chemical Oxygen Demand, Total Organic Matter, alkalinity",No,not reported,No,yes,not reported,
5/18/2025 4:22:07,10.1016/j.agsy.2017.02.001,modeling study,Brazil,grazing beef production planning,pasture,business as usual operation of human's activity,sustainable intensification of agriculture,manage: optimal grazing intensity,multi-period linear programming (LP) model for grazing beef production planning to compare the economic and environmental performance of two alternative optimized pasture management approaches relative to the traditional practice,control variable/business as usual,multi-period linear programming (LP) model,"data on livestock emissions, fertilizer use, restoration inputs and processes, and pasture characteristics like productivity and potential for carbon storage","life cycle assessment, soil carbon dynamic simulation (CENTURY model)",environmental performance of beef production,"environmental performance is assessed through Emission Intensity (EI), measured in kilograms of CO2 equivalent per kilogram of carcass weight equivalent (kg CO2e/kg CWE), and changes in Soil Organic Carbon (SOC) stocks (t-C·ha−1). These outcomes were used to compare the environmental performance of different pasture management strategies for grazing beef production",Yes,sensitivity analysis,No,no,different scenario being used,
5/18/2025 4:32:25,10.1016/j.agsy.2017.02.001,,,,,,,,,,,"secondary data on herd dynamics and associated costs/revenues, pasture management cost, information regarding available financial resources such as access to credit",multi-linear programming to optimizes decisions related to pasture management with the primary objective of maximizing profit,economic performance on beef production,"net present value, beef yield production in terms of kilograms of carcass weight equivalent per hectare per year",No,sensitivity analysis,No,no,"deterministic linear programming model does not inherently incorporate or quantify uncertainty in its input parameters (such as prices, yields, or degradation rates) to produce probabilistic outcomes or confidence intervals for the results",
5/18/2025 8:54:24,10.1371/journal.pone.0132147,"Department of San Martin, Province of San Martin, and District of La Banda de Shilcayo",peru,soil in the Peruvian Amazon,forest,ecosystem's natural condition,"long-term cacao management systems: the Improved Natural Agroforestry System (INAS), where cacao genotypes were established under thinned native forest with selective removal of uneconomical trees to achieve approximately 50% shade, and the Improved Traditional Agroforestry System (ITAS), where land was cleared by manual cutting, drying, and burning of all weeds, shrubs, and secondary forest trees on location",manage: trees in agricultural lands,random block design to evaluate the impact of two cacao agroforestry management systems (Improved Natural Agroforestry System and Improved Traditional Agroforestry System) and different cacao genotypes on soil physical and chemical properties over a six-year period,other samples in the study's design,linear mixed effect models with repeated measures,standard soil physical and chemical sampling and laboratory analysis equipment,standard soil physical and chemical sampling and laboratory analysis,soil physical and chemical analysis,"soil physical properties were determined, including bulk density, porosity, field capacity, wilting point, and plant available water, using methods like the cylinder method and estimation based on texture and organic matter. Soil chemical properties analyzed included pH, electrical conductivity, soil organic matter, extractable ions (P, K, Fe, Cu, Zn, Mn), exchangeable cations (K, Ca, Mg), and exchangeable acidity (Al+H), with Cation Exchange Capacity (CEC) computed",No,statistical framework,No,yes,study design,
5/18/2025 23:51:10,10.3390/rs10081235,"Lake Sentarum in Kapuas Hulu Regency, West Kalimantan Province",Indonesia,wetland spatiotemporal dynamic,wetland,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,"novel data fusion approach called random forest database unmixing (RFDBUX) to produce PALSAR-2-like images with a higher temporal resolution (three-day) than the original PALSAR-2 data, while maintaining the spatial resolution (100 m)",original PALSAR-2 backscatter coefficient images,correlation coefficients (r) and root mean square error (RMSE),"data from the Advanced Microwave Scanning Radiometer 2 (AMSR2), a passive microwave radiometer, and PALSAR-2 (Phased Array type L-band Synthetic Aperture Radar), an active microwave sensor",random forest database unmixing (RFDBUX) data fusion approach,spatial and temporal accuracy of the novel data fusion approach (RFDBUX) and the resulting PALSAR-2-like images and water body extent maps,uses pixel-based random forest regression to integrate data from passive microwave sensors (AMSR2) and active microwave sensors (PALSAR-2),No,accuracy metrics,Yes,no,methodology,
5/19/2025 0:09:41,10.1016/j.rse.2012.09.022,Lower Nhecolândia subregion in the Brazilian Pantanal,Brazil,tropical wetland,wetland,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,"designed and implemented a hierarchical object-based image analysis (OBIA) method, supported by field data, using multi-temporal L-band ALOS/PALSAR, C-band RADARSAT-2, and ENVISAT/ASAR imagery to produce the first fine spatial resolution classification map showing the spatial distribution of terrestrial and aquatic habitats for the entire Lower Nhecolândia subregion",conventional method and previous studies,Dunnett's T3 post hoc difference of means test,"field observation of vegetation characteristic and water quality, SAR imageries","image preprocessing, backscattering analysis, Hierarchical Object-Based Image Analysis (OBIA) classification, validation and accuracy assessment",land cover classification,"fine spatial resolution classification showing the spatial distribution of terrestrial and aquatic habitats for the entire Lower Nhecolândia subregion using the specified dual season, dual polarization SAR imagery",No,"validation and accuracy assessment (overall accuracy, commission errors, and omission errors)",Yes,yes,methodology and landscape's dynamic and heterogeneity,
5/19/2025 0:25:25,10.1117/1.JRS.11.016040,"Siak River Transect, Riau Province",Indonesia,tropical peatlands classification,peatland,business as usual operation of human's activity,no modification was done in the study,ecosystem monitoring study,"evaluate the performance of PALSAR L-band dual-polarization and fully polarimetric data, alone and in combination, for tropical peatlands classification using a decision tree classifier",four different data combinations,decision tree classifier,"ground truth data, two scenes of PALSAR dual-polarization data (one dry season, one wet season) and one scene of PALSAR fully polarimetric data, Landsat 5 Thematic Mapper (TM) data were used to update an existing land use/cover map via visual interpretation and to select training samples","image preprocessing, polarimetric feature extraction, geographic feature integration (distance to river), distance factor for decision tree feature selection, image classification",accuracy of tropical peatlands classification results,"Accuracy was assessed using indicators derived from a confusion matrix, namely Overall Accuracy (OA) and Kappa coefficient (K)",No,accuracy assessment,Yes,yes,methodology,
5/19/2025 0:59:12,10.1080/01431161.2019.1584927,"Siak Regency, Riau, Indonesia",Indonesia,tropical peatland,peatland,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,"investigates soil moisture retrieval for sparsely vegetated tropical peatlands in Indonesia using ALOS-2 L-band full-polarimetric SAR data and proposes an adaptive polarimetric two-scale two-component model (PTSTCM) method that incorporates a generalized volume model to account for vegetation, validated by in situ measurements",original PTSCM method,"root mean square error, inversion rate","in situ volumetric soil moisture measurements, SAR ALOS-2 L-band data","preprocessing, pixel selection, adaptive PTSTCM",volumetric soil moisture maps,relative dielectric constant (ε) from the PTSTCM was converted to volumetric soil moisture (mv),No,statistical analysis,Yes,yes,"methodology, landscape feature and dynamic",
5/19/2025 1:48:14,10.3390/rs12142196,"between the Likouala-aux-Herbes and Ubangi rivers, Likouala Department, Republic of Congo",DRC,Centrale Cuvette peat deposit,peatland,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,"quantify topography and investigate the presence of peat domes using UAV LiDAR, satellite LiDAR (ICESat and ICESat-2) and field-measured peat depths",other samples in the study's design,"fitted linear trend, root mean square difference from ground truth","field measured peat depth data, UAV LiDAR data, satellite LiDAR data, DEM","all the data source was combined into fitted parabolic curve, topography of the underlying mineral layer was inferred by combining the estimated ground elevation (peat surface elevation) from the remote sensing/UAV data with the field-measured peat depths at corresponding locations",potential domed peatland surface,"elevation variation across the peatland edges and the area between the transects was quantified. The data revealed an upward slope from the peatland edges, providing the first evidence of a potentially domed peatland surface in this region",No,"distributions, means, and agreement in elevation of the different data sources",Yes,yes,"methodology, sparsity of data around the center of the peatland precluded identifying the precise shape of the dome",
5/19/2025 2:04:30,10.1080/2150704X.2021.1906974,"village of Tanjung Leban, Riau, Indonesia",Indonesia,peatland groundwater level,peatland,business as usual operation of human's activity,no modification was done in the study,ecosystem monitoring study,esting the feasibility of using UAV-acquired soil surface temperature mapped with thermal infrared cameras as a proxy for monitoring groundwater level,no comparator,Spearman's rank correlation coefficient,"field observation using manual groundwater level measurement and installed meteorological observation devices, UAV","field measurement, data preprocessing, data extraction from UAV, calculation of groundwater level depth",groundwater level in tropical peatlands,correlation between the UAV-acquired soil surface temperature and the measured groundwater level (depth from the ground surface),No,not reported,Yes,yes,"methodology, landscape's heterogeneity and dynamic",
